request_number,department1,opened_date,request_closed,request_state,task_number,department2,task_status,task_closed,approval_status,complexity_risk
SR_Req_0989261,Finance Operations Team,13/07/2023,20/07/2023,Closed Complete,SubTask_0236950,OH&S Team,Closed Complete,18/07/2023,Rejected,High Risk
SR_Req_0989379,Finance Operations Team,14/07/2023,20/07/2023,Closed Complete,SubTask_0236979,Procurement Operations Team,Closed Complete,14/07/2023,Not Yet Requested,High Risk
SR_Req_0989379,Finance Operations Team,14/07/2023,20/07/2023,Closed Complete,SubTask_0236980,OH&S Team,Closed Complete,20/07/2023,Approved,High Risk
SR_Req_0989443,Finance Operations Team,14/07/2023,11/09/2023,Closed Complete,SubTask_0237003,Procurement Operations Team,Closed Complete,21/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989500,Procurement Operations Team,14/07/2023,14/07/2023,Closed Complete,SubTask_0237066,Procurement Operations Team,Closed Complete,14/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989518,Finance Operations Team,14/07/2023,24/07/2023,Closed Complete,SubTask_0237097,Procurement Operations Team,Closed Complete,14/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989624,Finance Operations Team,14/07/2023,31/07/2023,Closed Complete,SubTask_0237124,Procurement Operations Team,Closed Complete,18/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989690,Finance Operations Team,14/07/2023,28/07/2023,Closed Complete,SubTask_0237157,Procurement Operations Team,Closed Complete,18/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989379,Finance Operations Team,14/07/2023,20/07/2023,Closed Complete,SubTask_0237212,Category Management Team,Closed Complete,17/07/2023,Not Yet Requested,High Risk
SR_Req_0989948,Procurement Operations Team,14/07/2023,1/08/2023,Closed Incomplete,SubTask_0237215,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0990175,Finance Operations Team,17/07/2023,19/07/2023,Closed Complete,SubTask_0237267,Procurement Operations Team,Closed Complete,17/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989261,Finance Operations Team,13/07/2023,20/07/2023,Closed Complete,SubTask_0237339,Category Management Team,Closed Complete,17/07/2023,Not Yet Requested,High Risk
SR_Req_0991047,Finance Operations Team,18/07/2023,26/07/2023,Closed Complete,SubTask_0237401,Procurement Operations Team,Closed Complete,18/07/2023,Not Yet Requested,Medium Risk
SR_Req_0989690,Finance Operations Team,14/07/2023,28/07/2023,Closed Complete,SubTask_0237427,Category Management Team,Closed Complete,27/07/2023,Not Yet Requested,Medium Risk
SR_Req_0991307,Finance Operations Team,18/07/2023,21/07/2023,Closed Complete,SubTask_0237444,Procurement Operations Team,Closed Complete,18/07/2023,Not Yet Requested,Medium Risk
SR_Req_0991307,Finance Operations Team,18/07/2023,21/07/2023,Closed Complete,SubTask_0237509,Category Management Team,Closed Complete,19/07/2023,Not Yet Requested,Medium Risk
SR_Req_0991810,Finance Operations Team,18/07/2023,11/08/2023,Closed Complete,SubTask_0237529,Procurement Operations Team,Closed Complete,21/07/2023,Not Yet Requested,Medium Risk
SR_Req_0991843,Procurement Operations Team,18/07/2023,27/07/2023,Closed Skipped,SubTask_0237533,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0991860,Finance Operations Team,18/07/2023,24/07/2023,Closed Complete,SubTask_0237534,OH&S Team,Closed Complete,19/07/2023,Approved,Medium Risk
SR_Req_0992032,Finance Operations Team,19/07/2023,4/08/2023,Closed Complete,SubTask_0237559,Procurement Operations Team,Closed Complete,24/07/2023,Not Yet Requested,Medium Risk
SR_Req_0992474,Finance Operations Team,19/07/2023,4/08/2023,Closed Complete,SubTask_0237618,OH&S Team,Closed Complete,3/08/2023,Rejected,Medium Risk
SR_Req_0992474,Finance Operations Team,19/07/2023,4/08/2023,Closed Complete,SubTask_0237626,Category Management Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_0992505,Finance Operations Team,19/07/2023,24/07/2023,Closed Complete,SubTask_0237639,OH&S Team,Closed Complete,24/07/2023,Rejected,Medium Risk
SR_Req_0993088,Finance Operations Team,19/07/2023,1/09/2023,Closed Complete,SubTask_0237646,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_0993106,Finance Operations Team,20/07/2023,4/08/2023,Closed Complete,SubTask_0237648,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_0993088,Finance Operations Team,19/07/2023,1/09/2023,Closed Complete,SubTask_0237795,Procurement Operations Team,Closed Complete,10/08/2023,Not Yet Requested,Medium Risk
SR_Req_0994418,Procurement Operations Team,20/07/2023,4/08/2023,Closed Incomplete,SubTask_0237826,OH&S Team,Closed Complete,6/05/2024,Rejected,Medium Risk
SR_Req_0994684,Procurement Operations Team,21/07/2023,28/07/2023,Closed Incomplete,SubTask_0237879,Procurement Operations Team,Closed Complete,21/07/2023,Not Yet Requested,Medium Risk
SR_Req_0994988,Finance Operations Team,21/07/2023,25/07/2023,Closed Complete,SubTask_0237917,Procurement Operations Team,Closed Complete,21/07/2023,Not Yet Requested,Medium Risk
SR_Req_0993106,Finance Operations Team,20/07/2023,4/08/2023,Closed Complete,SubTask_0237955,Category Management Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0996365,Finance Operations Team,24/07/2023,27/07/2023,Closed Complete,SubTask_0237974,Procurement Operations Team,Closed Complete,25/07/2023,Not Yet Requested,Medium Risk
SR_Req_0996365,Finance Operations Team,24/07/2023,27/07/2023,Closed Complete,SubTask_0238012,Category Management Team,Closed Complete,24/07/2023,Not Yet Requested,Medium Risk
SR_Req_0996597,Finance Operations Team,24/07/2023,9/08/2023,Closed Complete,SubTask_0238045,Procurement Operations Team,Closed Complete,28/07/2023,Not Yet Requested,Medium Risk
SR_Req_0997524,Finance Operations Team,25/07/2023,31/07/2023,Closed Complete,SubTask_0238260,Procurement Operations Team,Closed Complete,26/07/2023,Not Yet Requested,Medium Risk
SR_Req_0997737,Finance Operations Team,25/07/2023,9/08/2023,Closed Complete,SubTask_0238319,OH&S Team,Closed Complete,7/08/2023,Rejected,Medium Risk
SR_Req_0998189,Procurement Operations Team,26/07/2023,1/08/2023,Closed Skipped,SubTask_0238411,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0993099,Finance Operations Team,20/07/2023,24/08/2023,Closed Complete,SubTask_0238429,Procurement Operations Team,Closed Complete,27/07/2023,Not Yet Requested,Medium Risk
SR_Req_0998508,Finance Operations Team,26/07/2023,24/08/2023,Closed Complete,SubTask_0238453,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_0998542,Finance Operations Team,26/07/2023,8/08/2023,Closed Complete,SubTask_0238456,Procurement Operations Team,Closed Complete,31/07/2023,Not Yet Requested,Medium Risk
SR_Req_0998645,Finance Operations Team,27/07/2023,8/08/2023,Closed Complete,SubTask_0238471,Procurement Operations Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_0998508,Finance Operations Team,26/07/2023,24/08/2023,Closed Complete,SubTask_0238548,Category Management Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999311,Finance Operations Team,28/07/2023,11/08/2023,Closed Complete,SubTask_0238568,Procurement Operations Team,Closed Complete,28/07/2023,Not Yet Requested,Medium Risk
SR_Req_0999447,Finance Operations Team,28/07/2023,7/09/2023,Closed Complete,SubTask_0238591,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999518,Finance Operations Team,28/07/2023,5/09/2023,Closed Complete,SubTask_0238595,Procurement Operations Team,Closed Complete,28/07/2023,Not Yet Requested,Medium Risk
SR_Req_0999567,Procurement Operations Team,28/07/2023,4/08/2023,Closed Incomplete,SubTask_0238598,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999608,Procurement Operations Team,28/07/2023,4/08/2023,Closed Skipped,SubTask_0238602,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999528,Finance Operations Team,28/07/2023,10/08/2023,Closed Complete,SubTask_0238657,Category Management Team,Closed Complete,8/08/2023,Not Yet Requested,Low Risk
SR_Req_0999909,Finance Operations Team,29/07/2023,23/08/2023,Closed Complete,SubTask_0238669,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999959,Finance Operations Team,31/07/2023,22/08/2023,Closed Complete,SubTask_0238672,Procurement Operations Team,Closed Complete,31/07/2023,Not Yet Requested,High Risk
SR_Req_0999959,Finance Operations Team,31/07/2023,22/08/2023,Closed Complete,SubTask_0238673,OH&S Team,Closed Complete,22/08/2023,Rejected,High Risk
SR_Req_0999311,Finance Operations Team,28/07/2023,11/08/2023,Closed Complete,SubTask_0238687,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_1000559,Finance Operations Team,31/07/2023,10/08/2023,Closed Complete,SubTask_0238816,Procurement Operations Team,Closed Complete,31/07/2023,Not Yet Requested,Medium Risk
SR_Req_1000698,Finance Operations Team,31/07/2023,4/08/2023,Closed Complete,SubTask_0238849,Procurement Operations Team,Closed Complete,2/08/2023,Not Yet Requested,Medium Risk
SR_Req_1000703,Finance Operations Team,31/07/2023,22/08/2023,Closed Complete,SubTask_0238850,OH&S Team,Closed Complete,22/08/2023,Rejected,Medium Risk
SR_Req_1001296,Finance Operations Team,1/08/2023,22/08/2023,Closed Complete,SubTask_0238871,Procurement Operations Team,Closed Complete,3/08/2023,Not Yet Requested,High Risk
SR_Req_1001296,Finance Operations Team,1/08/2023,22/08/2023,Closed Complete,SubTask_0238872,OH&S Team,Closed Complete,22/08/2023,Approved,High Risk
SR_Req_1001308,Procurement Operations Team,1/08/2023,4/08/2023,Closed Incomplete,SubTask_0238874,OH&S Team,Closed Complete,23/10/2023,Rejected,Medium Risk
SR_Req_1001405,Finance Operations Team,1/08/2023,30/08/2023,Closed Complete,SubTask_0238903,Procurement Operations Team,Closed Complete,2/08/2023,Not Yet Requested,Medium Risk
SR_Req_1001518,Finance Operations Team,1/08/2023,8/08/2023,Closed Complete,SubTask_0238914,Procurement Operations Team,Closed Complete,1/08/2023,Not Yet Requested,Medium Risk
SR_Req_1001721,Service Connect Team,1/08/2023,25/08/2023,Closed Complete,SubTask_0238950,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,High Risk
SR_Req_1001721,Service Connect Team,1/08/2023,25/08/2023,Closed Complete,SubTask_0238951,OH&S Team,Closed Complete,25/08/2023,Rejected,High Risk
SR_Req_1001721,Service Connect Team,1/08/2023,25/08/2023,Closed Complete,SubTask_0239033,Category Management Team,Closed Complete,2/08/2023,Not Yet Requested,High Risk
SR_Req_1000698,Finance Operations Team,31/07/2023,4/08/2023,Closed Complete,SubTask_0239030,Category Management Team,Closed Complete,2/08/2023,Not Yet Requested,Medium Risk
SR_Req_1002080,Finance Operations Team,2/08/2023,9/08/2023,Closed Complete,SubTask_0239038,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_1002080,Finance Operations Team,2/08/2023,9/08/2023,Closed Complete,SubTask_0239067,Category Management Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_1001296,Finance Operations Team,1/08/2023,22/08/2023,Closed Complete,SubTask_0239088,Category Management Team,Closed Complete,3/08/2023,Not Yet Requested,High Risk
SR_Req_1002480,Finance Operations Team,2/08/2023,18/08/2023,Closed Complete,SubTask_0239180,Procurement Operations Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_1002632,Procurement Operations Team,2/08/2023,4/08/2023,Closed Incomplete,SubTask_0239192,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_1002639,Finance Operations Team,2/08/2023,18/08/2023,Closed Complete,SubTask_0239193,Procurement Operations Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_1002816,Finance Operations Team,3/08/2023,22/08/2023,Closed Complete,SubTask_0239222,OH&S Team,Closed Complete,22/08/2023,Rejected,Medium Risk
SR_Req_1002830,Procurement Operations Team,3/08/2023,4/08/2023,Closed Incomplete,SubTask_0239223,OH&S Team,Closed Complete,23/10/2023,Rejected,Medium Risk
SR_Req_0998645,Finance Operations Team,27/07/2023,8/08/2023,Closed Complete,SubTask_0239246,Category Management Team,Closed Complete,3/08/2023,Not Yet Requested,Medium Risk
SR_Req_1003485,Finance Operations Team,4/08/2023,29/08/2023,Closed Complete,SubTask_0239431,Procurement Operations Team,Closed Complete,7/08/2023,Not Yet Requested,Medium Risk
SR_Req_1003634,Finance Operations Team,4/08/2023,28/08/2023,Closed Complete,SubTask_0239451,Procurement Operations Team,Closed Complete,4/08/2023,Not Yet Requested,Medium Risk
SR_Req_1003871,Procurement Operations Team,6/08/2023,14/08/2023,Closed Skipped,SubTask_0239521,OH&S Team,Closed Complete,24/04/2024,Rejected,Medium Risk
SR_Req_1003876,Procurement Operations Team,6/08/2023,17/08/2023,Closed Skipped,SubTask_0239522,OH&S Team,Closed Complete,28/08/2023,Rejected,Medium Risk
SR_Req_1004005,Procurement Operations Team,7/08/2023,17/08/2023,Closed Incomplete,SubTask_0239551,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004025,Finance Operations Team,7/08/2023,24/08/2023,Closed Complete,SubTask_0239557,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004025,Finance Operations Team,7/08/2023,24/08/2023,Closed Complete,SubTask_0239575,Category Management Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004199,Procurement Operations Team,7/08/2023,15/08/2023,Closed Incomplete,SubTask_0239585,Procurement Operations Team,Closed Complete,15/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004342,Finance Operations Team,7/08/2023,17/08/2023,Closed Complete,SubTask_0239603,Procurement Operations Team,Closed Complete,8/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004354,Procurement Operations Team,7/08/2023,8/08/2023,Closed Incomplete,SubTask_0239606,Procurement Operations Team,Closed Complete,8/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004523,Finance Operations Team,7/08/2023,11/08/2023,Closed Complete,SubTask_0239647,Procurement Operations Team,Closed Complete,9/08/2023,Not Yet Requested,Medium Risk
SR_Req_0999909,Finance Operations Team,29/07/2023,23/08/2023,Closed Complete,SubTask_0239670,Category Management Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004562,Procurement Operations Team,7/08/2023,8/08/2023,Closed Complete,SubTask_0239675,Procurement Operations Team,Closed Complete,8/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004636,Finance Operations Team,8/08/2023,24/08/2023,Closed Complete,SubTask_0239678,Procurement Operations Team,Closed Complete,9/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004921,Finance Operations Team,8/08/2023,29/08/2023,Closed Complete,SubTask_0239736,Procurement Operations Team,Closed Complete,14/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004942,Finance Operations Team,8/08/2023,15/08/2023,Closed Complete,SubTask_0239739,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005269,Finance Operations Team,8/08/2023,11/08/2023,Closed Complete,SubTask_0239843,Procurement Operations Team,Closed Complete,9/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005368,Procurement Operations Team,8/08/2023,22/08/2023,Closed Incomplete,SubTask_0239850,Procurement Operations Team,Closed Complete,10/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005371,Finance Operations Team,8/08/2023,29/08/2023,Closed Complete,SubTask_0239851,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005524,Procurement Operations Team,9/08/2023,23/08/2023,Closed Skipped,SubTask_0239921,OH&S Team,Closed Complete,23/10/2023,Rejected,Medium Risk
SR_Req_1005584,Finance Operations Team,9/08/2023,22/09/2023,Closed Complete,SubTask_0239937,Procurement Operations Team,Closed Complete,10/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005664,Procurement Operations Team,9/08/2023,11/08/2023,Closed Skipped,SubTask_0239939,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005798,Finance Operations Team,9/08/2023,11/08/2023,Closed Complete,SubTask_0239973,Procurement Operations Team,Closed Complete,10/08/2023,Not Yet Requested,Medium Risk
SR_Req_1005940,Finance Operations Team,9/08/2023,22/08/2023,Closed Complete,SubTask_0240008,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,High Risk
SR_Req_1005940,Finance Operations Team,9/08/2023,22/08/2023,Closed Complete,SubTask_0240009,OH&S Team,Closed Complete,22/08/2023,Rejected,High Risk
SR_Req_1006227,Finance Operations Team,10/08/2023,18/08/2023,Closed Complete,SubTask_0240066,Procurement Operations Team,Closed Complete,10/08/2023,Not Yet Requested,Medium Risk
SR_Req_1004921,Finance Operations Team,8/08/2023,29/08/2023,Closed Complete,SubTask_0240089,Category Management Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006383,Finance Operations Team,10/08/2023,18/08/2023,Closed Complete,SubTask_0240094,Procurement Operations Team,Closed Complete,16/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006451,Procurement Operations Team,10/08/2023,23/08/2023,Closed Incomplete,SubTask_0240102,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006227,Finance Operations Team,10/08/2023,18/08/2023,Closed Complete,SubTask_0240174,Category Management Team,Closed Complete,15/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006700,Finance Operations Team,10/08/2023,18/08/2023,Closed Complete,SubTask_0240195,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006733,Finance Operations Team,11/08/2023,25/09/2023,Closed Complete,SubTask_0240202,Procurement Operations Team,Closed Complete,15/08/2023,Not Yet Requested,High Risk
SR_Req_1006733,Finance Operations Team,11/08/2023,25/09/2023,Closed Complete,SubTask_0240203,OH&S Team,Closed Complete,25/09/2023,Rejected,High Risk
SR_Req_1006796,Finance Operations Team,11/08/2023,15/08/2023,Closed Complete,SubTask_0240245,Procurement Operations Team,Closed Complete,11/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006969,Finance Operations Team,11/08/2023,28/08/2023,Closed Complete,SubTask_0240279,Procurement Operations Team,Closed Complete,15/08/2023,Not Yet Requested,Medium Risk
SR_Req_1007267,Finance Operations Team,12/08/2023,18/08/2023,Closed Complete,SubTask_0240389,Procurement Operations Team,Closed Complete,15/08/2023,Not Yet Requested,Medium Risk
SR_Req_1007776,Finance Operations Team,14/08/2023,23/08/2023,Closed Complete,SubTask_0240506,Procurement Operations Team,Closed Complete,18/08/2023,Not Yet Requested,Medium Risk
SR_Req_1007836,Procurement Operations Team,14/08/2023,15/08/2023,Closed Incomplete,SubTask_0240528,Procurement Operations Team,Closed Complete,15/08/2023,Not Yet Requested,Medium Risk
SR_Req_1008228,Finance Operations Team,15/08/2023,30/08/2023,Closed Complete,SubTask_0240679,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1008457,Finance Operations Team,15/08/2023,24/08/2023,Closed Complete,SubTask_0240736,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1008783,Finance Operations Team,16/08/2023,11/09/2023,Closed Complete,SubTask_0240803,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1008856,Finance Operations Team,16/08/2023,23/08/2023,Closed Complete,SubTask_0240829,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1008868,Finance Operations Team,16/08/2023,24/08/2023,Closed Complete,SubTask_0240836,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1006383,Finance Operations Team,10/08/2023,18/08/2023,Closed Complete,SubTask_0240898,Category Management Team,Closed Complete,16/08/2023,Not Yet Requested,Medium Risk
SR_Req_1009011,Finance Operations Team,16/08/2023,18/08/2023,Closed Complete,SubTask_0240902,Procurement Operations Team,Closed Complete,17/08/2023,Not Yet Requested,Medium Risk
SR_Req_1009448,Finance Operations Team,17/08/2023,3/10/2023,Closed Complete,SubTask_0241008,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1009464,Finance Operations Team,17/08/2023,25/08/2023,Closed Complete,SubTask_0241017,Procurement Operations Team,Closed Complete,18/08/2023,Not Yet Requested,Medium Risk
SR_Req_1010240,Finance Operations Team,18/08/2023,24/08/2023,Closed Complete,SubTask_0241250,OH&S Team,Closed Complete,24/08/2023,Rejected,Medium Risk
SR_Req_1010316,Finance Operations Team,18/08/2023,24/08/2023,Closed Complete,SubTask_0241260,Procurement Operations Team,Closed Complete,21/08/2023,Not Yet Requested,Medium Risk
SR_Req_1010386,Finance Operations Team,18/08/2023,25/08/2023,Closed Complete,SubTask_0241292,OH&S Team,Closed Complete,25/08/2023,Rejected,Medium Risk
SR_Req_1008868,Finance Operations Team,16/08/2023,24/08/2023,Closed Complete,SubTask_0241347,Procurement Operations Team,Closed Complete,21/08/2023,Not Yet Requested,Medium Risk
SR_Req_1011118,Finance Operations Team,21/08/2023,30/08/2023,Closed Complete,SubTask_0241415,Procurement Operations Team,Closed Complete,22/08/2023,Not Yet Requested,High Risk
SR_Req_1011118,Finance Operations Team,21/08/2023,30/08/2023,Closed Complete,SubTask_0241416,OH&S Team,Closed Complete,30/08/2023,Approved,High Risk
SR_Req_1011119,Finance Operations Team,21/08/2023,5/09/2023,Closed Complete,SubTask_0241417,Procurement Operations Team,Closed Complete,22/08/2023,Not Yet Requested,Medium Risk
SR_Req_1011440,Finance Operations Team,22/08/2023,7/09/2023,Closed Complete,SubTask_0241521,Procurement Operations Team,Closed Complete,22/08/2023,Not Yet Requested,Medium Risk
SR_Req_1011473,Procurement Operations Team,22/08/2023,15/09/2023,Closed Incomplete,SubTask_0241529,OH&S Team,Closed Complete,23/10/2023,Approved,Medium Risk
SR_Req_1011595,Finance Operations Team,22/08/2023,25/08/2023,Closed Complete,SubTask_0241548,Procurement Operations Team,Closed Complete,22/08/2023,Not Yet Requested,High Risk
SR_Req_1011595,Finance Operations Team,22/08/2023,25/08/2023,Closed Complete,SubTask_0241549,OH&S Team,Closed Complete,25/08/2023,Approved,High Risk
SR_Req_1011597,Finance Operations Team,22/08/2023,29/08/2023,Closed Complete,SubTask_0241550,Procurement Operations Team,Closed Complete,28/08/2023,Not Yet Requested,Medium Risk
SR_Req_1011119,Finance Operations Team,21/08/2023,5/09/2023,Closed Complete,SubTask_0241571,Category Management Team,Closed Complete,22/08/2023,Not Yet Requested,Medium Risk
SR_Req_1011806,Finance Operations Team,22/08/2023,28/08/2023,Closed Complete,SubTask_0241610,Procurement Operations Team,Closed Complete,24/08/2023,Not Yet Requested,Medium Risk
SR_Req_1012068,Finance Operations Team,22/08/2023,5/09/2023,Closed Complete,SubTask_0241687,OH&S Team,Closed Complete,5/09/2023,Approved,Medium Risk
SR_Req_1012117,Finance Operations Team,22/08/2023,5/09/2023,Closed Complete,SubTask_0241691,Procurement Operations Team,Closed Complete,28/08/2023,Not Yet Requested,Medium Risk
SR_Req_1012128,Finance Operations Team,22/08/2023,28/08/2023,Closed Complete,SubTask_0241692,Procurement Operations Team,Closed Complete,23/08/2023,Not Yet Requested,Medium Risk
SR_Req_1012134,Procurement Operations Team,22/08/2023,6/09/2023,Closed Incomplete,SubTask_0241694,Procurement Operations Team,Closed Complete,24/08/2023,Not Yet Requested,Medium Risk
SR_Req_1012203,Finance Operations Team,23/08/2023,7/09/2023,Closed Complete,SubTask_0241705,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1013880,Procurement Operations Team,23/08/2023,28/08/2023,Closed Incomplete,SubTask_0241830,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1013888,Finance Operations Team,23/08/2023,11/09/2023,Closed Complete,SubTask_0241831,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1014331,Finance Operations Team,24/08/2023,7/09/2023,Closed Complete,SubTask_0241853,Procurement Operations Team,Closed Complete,7/09/2023,Not Yet Requested,Medium Risk
SR_Req_1014498,Finance Operations Team,24/08/2023,15/09/2023,Closed Complete,SubTask_0241921,OH&S Team,Closed Complete,15/09/2023,Rejected,Medium Risk
SR_Req_1012068,Finance Operations Team,22/08/2023,5/09/2023,Closed Complete,SubTask_0241939,Category Management Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1014602,Procurement Operations Team,24/08/2023,15/09/2023,Closed Incomplete,SubTask_0241948,OH&S Team,Closed Complete,6/05/2024,Rejected,Medium Risk
SR_Req_1014764,Finance Operations Team,24/08/2023,9/10/2023,Closed Complete,SubTask_0241986,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1015209,Finance Operations Team,25/08/2023,30/08/2023,Closed Complete,SubTask_0242066,Procurement Operations Team,Closed Complete,25/08/2023,Not Yet Requested,Medium Risk
SR_Req_1014331,Finance Operations Team,24/08/2023,7/09/2023,Closed Complete,SubTask_0242086,Category Management Team,Closed Complete,7/09/2023,Not Yet Requested,Medium Risk
SR_Req_1016496,Finance Operations Team,25/08/2023,1/09/2023,Closed Complete,SubTask_0242109,Procurement Operations Team,Closed Complete,31/08/2023,Not Yet Requested,Medium Risk
SR_Req_1016654,Finance Operations Team,28/08/2023,17/10/2023,Closed Incomplete,SubTask_0242148,Procurement Operations Team,Closed Complete,31/08/2023,Not Yet Requested,Medium Risk
SR_Req_1016795,Finance Operations Team,28/08/2023,11/09/2023,Closed Complete,SubTask_0242189,OH&S Team,Closed Complete,11/09/2023,Rejected,Medium Risk
SR_Req_1017061,Finance Operations Team,28/08/2023,11/09/2023,Closed Complete,SubTask_0242263,Procurement Operations Team,Closed Complete,29/08/2023,Not Yet Requested,Medium Risk
SR_Req_1012203,Finance Operations Team,23/08/2023,7/09/2023,Closed Complete,SubTask_0242265,Category Management Team,Closed Complete,28/08/2023,Not Yet Requested,Medium Risk
SR_Req_1017140,Procurement Operations Team,28/08/2023,18/09/2023,Closed Incomplete,SubTask_0242290,OH&S Team,Open,,Rejected,High Risk
SR_Req_1017140,Procurement Operations Team,28/08/2023,18/09/2023,Closed Incomplete,SubTask_0242289,Procurement Operations Team,Closed Complete,29/08/2023,Not Yet Requested,High Risk
SR_Req_1017147,Procurement Operations Team,28/08/2023,12/09/2023,Closed Incomplete,SubTask_0242291,Procurement Operations Team,Closed Complete,29/08/2023,Not Yet Requested,High Risk
SR_Req_1017147,Procurement Operations Team,28/08/2023,12/09/2023,Closed Incomplete,SubTask_0242292,OH&S Team,Closed Complete,6/05/2024,Rejected,High Risk
SR_Req_1017407,Finance Operations Team,29/08/2023,5/09/2023,Closed Complete,SubTask_0242344,Procurement Operations Team,Closed Complete,4/09/2023,Not Yet Requested,Medium Risk
SR_Req_1017473,Finance Operations Team,29/08/2023,1/09/2023,Closed Complete,SubTask_0242364,Procurement Operations Team,Closed Complete,30/08/2023,Not Yet Requested,High Risk
SR_Req_1017473,Finance Operations Team,29/08/2023,1/09/2023,Closed Complete,SubTask_0242365,OH&S Team,Closed Complete,30/08/2023,Rejected,High Risk
